Place of Publication,Year of Publication,Author,URL
Newcastle,1836,"BRUCE, John - of Newcastle-upon-Tyne|FENWICK, John - Attorney. of Newcastle|LOSH, James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001187254
London,1661,"CROFTON, Zachary.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001187348
Dublin,[1885.],"ORPEN, Richard Caulfield.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001187717
London,1746,"Brooke, Henry",http://www.flickr.com/photos/britishlibrary/tags/sysnum001188919
Fabriano,"1879, 80","ZONGHI, Aurelio.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001189751
Bremen,1890,"TANNEN, Carl.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001189851
Strassburg,1888,"DELLIUS, Quintus.|THEOPHANES, Cneius Pompeius - of Mytilene",http://www.flickr.com/photos/britishlibrary/tags/sysnum001190358
Santiago de Chile,1891,"BALMACEDA, José Manuel - President of the Republic of Chile",http://www.flickr.com/photos/britishlibrary/tags/sysnum001191604
London,1869,"BEAL, Samuel.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001192420
London,[1877],"GILES, Herbert Allen.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001192421
Paris,1889,"RIOU, Édouard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001192503
Quebec],1894,"RALPH, Julian.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001193248
Calcutta,1859,"WALKER, Henry - F.G.S",http://www.flickr.com/photos/britishlibrary/tags/sysnum001195062
Sheffield,1876,"Coote, Thomas.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001195473
Jersey,1837,"DURELL, Edward - Rector of St Saviour Jersey",http://www.flickr.com/photos/britishlibrary/tags/sysnum001196483
London,1798,"MOULTRIE, George.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001197054
London,1897,"MACCORMICK, Arthur David.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001197192
London,1861,"EYRE, Mary.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001197360
London,1808,"POLWHELE, Richard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001197410
"pp. 20. [Appledore Press: New-Haven, Conn.,] 1875",,"LINTON, William James.|LINTON, William James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001197533
Paris,1882,"ANDRIEUX, Clément Auguste.|DUHOUSSET - Artist|GOSSELIN, Ch. - Artist|MÉAULLE, F.|VOGEL, Herman - Artist",http://www.flickr.com/photos/britishlibrary/tags/sysnum001199629
Paris,1887,"TRIGANT, L. - Madame",http://www.flickr.com/photos/britishlibrary/tags/sysnum001199724
London,[1886.],"MURRAY, Alfred.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001201404
Edinburgh,1882,"CLIVE, Robert George Windsor - Earl of Plymouth",http://www.flickr.com/photos/britishlibrary/tags/sysnum001203145
London,1829,"HUNT, Henry - M.P., for Preston",http://www.flickr.com/photos/britishlibrary/tags/sysnum001203305
London,1869,"MARSDEN, John Howard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001203798
"London, Beccles [printed]",1876,"MEDINA-POMAR, de - Duke",http://www.flickr.com/photos/britishlibrary/tags/sysnum001203914
London,1871,"Payn, James",http://www.flickr.com/photos/britishlibrary/tags/sysnum001204492
"London, Manchester [printed]",1844,"CULVERWELL, J. P.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001204837
Paris,1886,"LALANNE, Marie Ludovic Chrétien.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001206199
London,1823,"BIRKBECK, Morris.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001206786
London,1878,"GREENSTREET, James Harris.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001207130
London,1873,WOODWARD - Mrs,http://www.flickr.com/photos/britishlibrary/tags/sysnum001207131
London,1873,"CLARK, H. - Translator",http://www.flickr.com/photos/britishlibrary/tags/sysnum001207423
London,1879,"FAWKES, Lionel Grimston.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001207991
London,[1834],"TOMBLESON, William.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001209176
London,[1851],"HARREL, Thomas.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001209179
London,1818,"BIRKBECK, Morris.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001209237
London,1819,"BIRKBECK, Morris.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001209238
Oxford,1895,"Etheridge, W. Gray.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001211883
London,1852,"LACH-SZYRMA, Krystyn.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001213489
Boston [Mass.],1884,"BEALS, Willis H.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001214423
London,1897,"RUSSELL, Fox.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001215195
Edinburgh,1897,"O'CALLAGHAN, J. P.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001215935
Bradford,1816,"CROSSE, John - Vicar of Bradford",http://www.flickr.com/photos/britishlibrary/tags/sysnum001215953
London,1871,"Braddon, M. E. (Mary Elizabeth)",http://www.flickr.com/photos/britishlibrary/tags/sysnum001216328
Cleveland,1888,"WALLACE, Frederick T.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001218108
Edinburgh,1883,"REID, George - Sir, P.R.S.A",http://www.flickr.com/photos/britishlibrary/tags/sysnum001218986
London,1879,"NAUTET MONTEIRO, Mariana de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001219863
Madrid,1876-82,"ZARAGOZA, Justo.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001219870
Madrid,1889,"FERNÁNDEZ GUARDIA, Ricardo.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001220085
Paris,1888,"SIMON, Jules François.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001220141
Mejico,1836,"ORTEGA, F. - Historical Writer",http://www.flickr.com/photos/britishlibrary/tags/sysnum001220413
Santiago de Chile,1897,"MEDINA, José Toribio.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001220421
Paris,1828,"BALBI, Adriano.|CHALUMEAU DE VERNEUIL, F. T. Alphonse.|DEZOS DE LA ROQUETTE, Jean Baptiste Marie Alexandre.|RÉMUSAT, Jean Pierre Abel.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001220642
Bogotá,1881,"ACOSTA, Joaquín.|C., M. A.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001220699
Madrid,1882,"PEÑALOSA BRICEÑO, Diego Dionisio de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001220788
London,1870,"SAVILE, John Horace - Viscount Pollington",http://www.flickr.com/photos/britishlibrary/tags/sysnum001221318
Karlstad,1898,"NORSTEDT, H. O.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001221718
Lisboa,1879,"SERPA PINTO, Alexandre Alberto de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001223715
Milano,1811,"AMORETTI, Carlo.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001223941
Paris,1847,"Galinier, (Joseph Germain) - M",http://www.flickr.com/photos/britishlibrary/tags/sysnum001224158
Paris,1893,"TERRIER, Léon.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001224333
London,1856,"JESSE, William - Captain|SEYMOUR, Henry Danby.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001224491
London,1861,"CLIVE, Caroline.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001225077
London,1855,"CLIVE, Caroline.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001225081
Grenoble,1869,"DREVET, Xavier.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001225358
London,1892,"DAY, Charles Russell.|MACDONALD, Claude Maxwell - Sir, K.C.B., G.C.M.G",http://www.flickr.com/photos/britishlibrary/tags/sysnum001225390
New York,[1863.],"WILLIAMS, Henry Llewellyn.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001226967
Berlin,"1845, 46","FICHTE, Immanuel Hermann von.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001228073
Paris,1832,"BARCHOU DE PENHOËN, Auguste Théodore Hilaire - Baron",http://www.flickr.com/photos/britishlibrary/tags/sysnum001228106
London,1850,"FORSYTH, William - Q.C. LL.D",http://www.flickr.com/photos/britishlibrary/tags/sysnum001228789
London; New York [printed],1896,"FIELD, Roswell Martin.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001229455
"pp. 229. G. N. Morang & Company: Toronto, 1900",,"Grahame, Kenneth|Robinson, Charles",http://www.flickr.com/photos/britishlibrary/tags/sysnum001229458
"J. Johnson, etc",1806,"CHALMERS, Alexander - F.S.A",http://www.flickr.com/photos/britishlibrary/tags/sysnum001230543
Henry G. Bohn,1845,"Roscoe, Thomas.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001230547
"Bickers & Son, etc",1872,"BROWNE, James P.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001230568
William Nimmo,1872,"HERBERT, David - M.A",http://www.flickr.com/photos/britishlibrary/tags/sysnum001230569
George Routledge & Sons,1895,"T., G. H.|TOWNSEND, George Henry.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001230911
"Boston [Mass.]; Cambridge [Mass., printed]",1881,"WHIPPLE, Edwin Percy.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001231247
London,1877,"TROUGHTON, Richard Zouch S.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001231347
Montpellier,1878,"GERMAIN, Alexandre Charles.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001231529
Henley,[1805?],"CULHAM, B. P.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001231823
London,[1770?],"BOTTARELLI, Giovanni Gualberto.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001232064
London,1870,"T., E. B.|Tylor, Edward Burnett - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum001232550
London,[1875],"WILSON, Robert - Lecturer on Animal Physiology to the School of Arts, Edinburgh",http://www.flickr.com/photos/britishlibrary/tags/sysnum001232576
London,1867,"BRISTOW, Henry William.|O., W. S.|RIOU, Édouard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001232583
Paris,1864,"GIRARDET, Carl.|LEBRETON - Artist",http://www.flickr.com/photos/britishlibrary/tags/sysnum001232586
London,[1874.],"EMERSON, S. R.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001232881
Петроградъ,1890,"BILAIGRADSKY, M. D.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001233976
Paris,1877,"SACHOT, Octave.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001234111
Leopoli,1899,"KĘTRZYŃSKI, Stanisław.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001236576
London,1826,"Raffles, Thomas Stamford - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum001237762
Cincinnati,1871,"PUTNAM, Rufus - of Chillicothe, Ohio",http://www.flickr.com/photos/britishlibrary/tags/sysnum001237851
London,1878,"BEAUFORT, Emily Anne - afterwards SMYTHE (Emily Anne) Viscountess Strangford|MACCAUL, afterwards FINN, Elizabeth Anne.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001238021
Troyes,1866,"OUDIN, Alphonse.|ROYER, D.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001238572
Berlin,1879,"Brehm, Alfred Edmund",http://www.flickr.com/photos/britishlibrary/tags/sysnum001238638
Budapest,1894,"HUSZKA, József.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001238809
London,1867,"BROUGH, Frances.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001239330
London,1808,"SHOBERL, Frederick.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001240627
Schweidnitz,1819,"STUCKART, Carl Friedrich.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001240655
New York,1863,"COLTON, Joseph Hutchinson.|JOHNSON, Alfred J.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001243935
Cincinnati,[1898.],"SEYMOUR, Ralph Fletcher.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001244263
London,1894,"HILL, Frank Alpine.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001244698
London,1894,"HATTON, Joseph - Novelist",http://www.flickr.com/photos/britishlibrary/tags/sysnum001244743
Madrid,1880,"FERNÁNDEZ GUERRA Y ORBE, Aureliano.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001244899
"New York [printed], Chicago",1863,"Colton, G. Woolworth (George Woolworth)",http://www.flickr.com/photos/britishlibrary/tags/sysnum001244969
London,"1841, 42","ROSCOE, Robert.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001245095
London,1820,"BOWLES, afterwards SOUTHEY, Caroline.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001245466
London,[1787.],"BINGLEY, William - Bookseller",http://www.flickr.com/photos/britishlibrary/tags/sysnum001245896
London,1893,"LUKER, William.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001246166
London,1897 [1896],"LLOYD, S. O.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001246294
"Санктпетербургъ, 1845",,"YAZUIKOV, Dmitry Ivanovich'.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001246734
London,1892,"F., W. J.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001247040
London,1863,"RILEY, Henry Thomas.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001247298
Paris,1866,"BELIN DE LAUNAY, Jules.|CHEADLE, Walter Butler.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001247362
Taurini,1869,"CERUTI, Antonio.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001248544
Paris,1884,"MAUPEOU, René Nicolas Charles Augustin de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001248641
Paris,1856,"CHÉRUEL, Pierre Adolphe.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001250007
Edinburgh,1859,"DUNS, John.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001251446
Saint Petersburg],1867,"OBOLENSKY, K. M.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001252689
London,1640,"Shirley, James",http://www.flickr.com/photos/britishlibrary/tags/sysnum001253003
London,1639,"BROME, Richard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001253024
London,1685,"WILMOT, John - Earl of Rochester|WOLSELEY, Robert - Poetical Writer",http://www.flickr.com/photos/britishlibrary/tags/sysnum001253037
"Reading, London",[1840],"NIEMANN, Edmund J.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001253806
Newcastle,1821,"HOLLINGSWORTH, Nathaniel John.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001254159
Newcastle,1821,"HOLLINGSWORTH, Nathaniel John.|Lockhart, J. G. (John Gibson)",http://www.flickr.com/photos/britishlibrary/tags/sysnum001254160
Paris,1897,"CARRIER, Jean Baptiste - Représentant du peuple",http://www.flickr.com/photos/britishlibrary/tags/sysnum001254449
Wien,1859,"STEINHAUSER, Anton.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001254800
"Boston, U.S.A",1898,"Fiske, John",http://www.flickr.com/photos/britishlibrary/tags/sysnum001255062
London,1874,"Braddon, M. E. (Mary Elizabeth)",http://www.flickr.com/photos/britishlibrary/tags/sysnum001255652
London,1868,"Baring-Gould, S. (Sabine)",http://www.flickr.com/photos/britishlibrary/tags/sysnum001255653
Rouen,1883,"ROBILLARD DE BEAUREPAIRE, Charles Marie de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001255789
London,1670,"RHODES, Richard - Playwright",http://www.flickr.com/photos/britishlibrary/tags/sysnum001255870
Firenze,1821,"ROSSO, Giuseppe del.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001257099
London,1874,"DILKE, Charles Wentworth - Right Hon. Sir, 2nd Bart",http://www.flickr.com/photos/britishlibrary/tags/sysnum001257398
Londres,1874,"DILKE, Charles Wentworth - Right Hon. Sir, 2nd Bart",http://www.flickr.com/photos/britishlibrary/tags/sysnum001257399
Madrid,1854,"CANAL, José de la.|MALO, Nicolas.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001257448
London,1863,"GUNN, Barbara.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001257520
Écija,1893,"ROA, Martin de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001257821
"London, Guildford [printed]",1867,"BROUGHTON, Rhoda.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001258486
London,1822,"BIRKBECK, Morris.|FLOWER, Benjamin.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001258661
London,1897,"PENNELL, Joseph.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001258720
London; printed in Bavaria,[1895.],"WEATHERLY, Frederick Edward.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001258842
London,1864,"Braddon, M. E. (Mary Elizabeth)",http://www.flickr.com/photos/britishlibrary/tags/sysnum001258916
London,1882,"GOLDSMID, Frederic John - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum001259017
Oxford,1895,"MASKELYNE, Mervin Herbert Nevil Story - Keeper of the Department of Mineralogy, British Museum|POPE, William Jackson - Sir, K.B.E",http://www.flickr.com/photos/britishlibrary/tags/sysnum001259903
Berlin,1891,"FOERSTER, Bernhard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001260427
London,1890,"SIMEON, Stephen Louis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001260978
London,1875,"Taylor, Bayard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001261202
Toulouse,1898,"BARRIÈRE-FLAVY, C.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001261484
Middelburg,1857,"MAN, Jan Cornelis de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001261652
Upsala,1851,"WIESELGREN, Peter.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001262661
Paris,1869,"RIOU, Édouard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001264116
London,1892,"POYNTER, Eleanor Frances.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001265306
London,[1879.],"Braddon, M. E. (Mary Elizabeth)",http://www.flickr.com/photos/britishlibrary/tags/sysnum001265360
London,1869,"BEWICKE, afterwards LITTLE, Alicia E. Neva.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001265363
Capetown,1896 [1906],"HAY, William - of Cape Town",http://www.flickr.com/photos/britishlibrary/tags/sysnum001265396
Bruxelles,1877,"GALESLOOT, Louis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001266102
Boston [Mass.],1868,"GREEN, Samuel Abbott.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001266188
London,[1895-97],"GRIFFITHS, Arthur George Frederick.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001266335
London,1834,"MONTALEMBERT, Eliza de - Countess de Montalembert",http://www.flickr.com/photos/britishlibrary/tags/sysnum001266718
"Cleveland, Ohio",1881,"FORD, Kate B.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001267870
"Cleveland, Ohio",1881,"FORD, Kate B.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001267871
London,1827,"GIFFORD, William - Editor of the Quarterly Review",http://www.flickr.com/photos/britishlibrary/tags/sysnum001268005
London,1850,"BIDDULPH, Michael Anthony Shrapnel - Sir, G.C.B",http://www.flickr.com/photos/britishlibrary/tags/sysnum001269462
Forli,1849,"CASALI, Giovanni.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001269984
Cincinnati,1888,"Draper, Lyman Copeland",http://www.flickr.com/photos/britishlibrary/tags/sysnum001270246
Paris,1890-92,"ALBERT, Antoine.|GUILLAUME, Paul - Archiviste des Hautes-Alpes|JUVÉNIS, Raymond.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001270889
Madrid,1893,"GOMEZ DE ARTECHE Y MORO, José.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001270932
London,1875,"ANGAS, George French.|WELD, Frederick Aloysius - Sir, G.C.M.G",http://www.flickr.com/photos/britishlibrary/tags/sysnum001271231
Halle a. S,1893,"LEITZMANN, Albert.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001272399
London,1872,"FORSTER, Henry Langstaff.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001272520
London,1820,"MERIVALE, John Herman - Commissioner of Bankruptcy",http://www.flickr.com/photos/britishlibrary/tags/sysnum001273595
London,1869,"FORTESCUE, Thomas - Baron Clermont",http://www.flickr.com/photos/britishlibrary/tags/sysnum001273707
London,1869,"MAUGHAN, afterwards STORY, Janet Leith.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001274464
Philadelphia,1848,"English, Thomas Dunn",http://www.flickr.com/photos/britishlibrary/tags/sysnum001276058
Knaresbrough,1822,"FAWKES, Walter.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001276358
Lille,1890-93,"DURIEUX, Achille.|FINOT, Jules.|JENNEPIN, A.|LEGRAND, Pierre - the Younger|QUARRÉ-REYBOURBON, Louis François.|TERQUEM, Augustin - Président de la Société de Géographique de Dunkerque",http://www.flickr.com/photos/britishlibrary/tags/sysnum001277421
Bernay,1890,"VEUCLIN, V. E.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001277774
London,"1804, 05","SAYERS, Elizabeth.|SAYERS, James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001278374
London,1691,"SHADWELL, Thomas - Poet Laureate",http://www.flickr.com/photos/britishlibrary/tags/sysnum001278407
Wien,1880,"COBENZL, Johann Ludwig Joseph - Count|GENTZ, Friedrich von.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001279230
Hamburg,1810,"SOLTAU, Dietrich Wilhelm.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001281327
Hawick,[1808?],"SOMERVILLE, Thomas - D.D",http://www.flickr.com/photos/britishlibrary/tags/sysnum001281331
Sudbury,1808,"STEWART, Charles Edward - Rector of Reed, Suffolk",http://www.flickr.com/photos/britishlibrary/tags/sysnum001281360
London,1780,"TICKELL, Richard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001281370
London,1899,"DREW, Dorothea A. H.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001282663
London,1865-68,"Hodgson, W. B.  (William Ballantyne)|SLACK, Henry James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001282828
London,1827,"FOY, Elisabeth Auguste - Countess",http://www.flickr.com/photos/britishlibrary/tags/sysnum001283107
Glasgow,1859,"BUCHANAN, Robert - Professor of Logic at the University of Glasgow",http://www.flickr.com/photos/britishlibrary/tags/sysnum001283971
Rouen,1888,"DUBOSC, Georges.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001284056
Paris,[1895],"FOURNIER, Alban.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001284131
London,1858,"WEDGWOOD, Frances Julia.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001284312
New York,1854,"HUNTINGTON, Jedediah Vincent.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001304839
Bristol,1781,"EVANS, Hugh - M.A",http://www.flickr.com/photos/britishlibrary/tags/sysnum001306116
New York,1865,"TUCKERMAN, Henry Theodore.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001306538
London,1896,"FELLOES, Frank.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001306654
Lisboa,1890,"PINHEIRO CHAGAS, Manuel.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001307199
Porte,1852,"FERNANDES PEREIRA, Antonio.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001307227
London,1859,"BEATON, Patrick.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001311260
Budapest,1886,"SCHWICKER, Johann Heinrich.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001311341
Franklin,1879,"BLAKE, Mortimer.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001311432
London,[1852?],"HUISH, Robert.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001311973
Milano,1892,"BERTACCHI, Cosimo.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001313323
London,1881,"MALLESON, George Bruce.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001314810
Edinburgh,1857,"PAE, David - Author of “The Coming Struggle.”",http://www.flickr.com/photos/britishlibrary/tags/sysnum001315204
London,1859,"Sabine, Edward - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum001315524
London,1895,"MACCORMICK, Arthur David.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001315685
Toronto,1899,"COBURN, Frederick Simpson.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001315873
"London, Guildford [printed]",1878,"HART, Elizabeth Anna.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001315937
Toronto,1899,"FISHER, Harrison - Illustrator",http://www.flickr.com/photos/britishlibrary/tags/sysnum001316113
London,1800,"BOLLAND, William - Sir, One of the Barons of the Court of Exchequer|FOX, Charles James - Right Hon",http://www.flickr.com/photos/britishlibrary/tags/sysnum001316224
London,1814,"ARNOLD, Samuel James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001316890
London,1815,"ARNOLD, Samuel James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001316891
Thomas Nelson & Sons,1889,"G., C. J.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001318028
London,1850,"COX, George William - calling himself Sir George William Cox, Bart",http://www.flickr.com/photos/britishlibrary/tags/sysnum001318325
London,1897,"FREEMAN, Florence.|HUTTON, William Holden - Dean of Winchester",http://www.flickr.com/photos/britishlibrary/tags/sysnum001318338
London,1731,"CHETWOOD, William Rufus.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001319079
Montevideo,1886,"ARTIGAS, José Gervasio.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001320626
Zielenzig,1887-92,"FREIER, Barthold.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001321062
2 Th. Helmstedt,1863,"SEELIGER, H. I. D. A.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001321156
Berlin,1845,"BOEHMER, Johann Friedrich.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001321211
London,1872,"FEARN, Joseph.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001321989
London,1878,"HENNESSY, W. J.|PRICE, Eleanor Catharine.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001322635
Edinburgh,1873,"MARSHALL, Frederic - Author of “French Home Life.”",http://www.flickr.com/photos/britishlibrary/tags/sysnum001322642
London,1892,"EDWARDS, Matilda Barbara Betham.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001322908
"2 series. London, Beccles [printed]",1876-78,"MURRAY, Eustace Clare Grenville.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001322984
New York,[1899],"MILLES, Jay.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001324076
Hannover,1889,"WENDE, G.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001324303
Stepney Green,1890,"FRERE, Walter Howard - Bishop of Truro",http://www.flickr.com/photos/britishlibrary/tags/sysnum001324444
London,1872,"FRERE, Henry Bartle Edward - Right Hon. Sir, Bart|FRERE, William Edward.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001324565
London,1761,"Z., X. Y.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001326913
Minden i. Westf,1889,"Varus, Publius Quintilius.",http://www.flickr.com/photos/britishlibrary/tags/sysnum001327353
"pp. 364. Digby & Long: London, 1887",,"GRAHAM, Scott - pseud. [i.e. Hazelton Black.]",http://www.flickr.com/photos/britishlibrary/tags/sysnum001329612
