Place of Publication,Year of Publication,Author,URL
London,[1817.],"WILLIAMS, Samuel - Wood Engraver",http://www.flickr.com/photos/britishlibrary/tags/sysnum000021782
Sceaux,1883,"CHARAIRE, Michel.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000022060
London,1795,"GIBBS, Vicary - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum000022105
Coblenz,1865,"FELLENBERG, Edmund von.|GERWER, Rud.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000022278
London,1877,"BENNETT, William Cox.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000023565
Leipzig,1853,"WUTTKE, Heinrich.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000024344
London,"1886, [1885]","MARSTON, Annie Wright.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000024878
London,[1834],"COOLEY, William Desborough.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000027797
"Carlstad, Stockholm",1852-63,"LJUNGBERG, Carl Edvard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000028615
Carlstad,1857,"DAHLMAN, Carl Edvard.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000028630
Boston,"1866, 76","A., E. C.|Agassiz, Elizabeth Cabot Cary",http://www.flickr.com/photos/britishlibrary/tags/sysnum000028758
Paris,1869,"Agassiz, Elizabeth Cabot Cary|VOGELI, Félix.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000028784
London,1853,"Craik, Dinah Maria Mulock",http://www.flickr.com/photos/britishlibrary/tags/sysnum000028873
London,1875,"CRANE, Walter.|Craik, Dinah Maria Mulock",http://www.flickr.com/photos/britishlibrary/tags/sysnum000028876
London,1827,"MONTGOMERY, Robert - Author of “Satan.”",http://www.flickr.com/photos/britishlibrary/tags/sysnum000029031
London,1828,"MONTGOMERY, Robert - Author of “Satan.”",http://www.flickr.com/photos/britishlibrary/tags/sysnum000029032
London,1876,"MEDINA-POMAR, de - Duke",http://www.flickr.com/photos/britishlibrary/tags/sysnum000029285
A. Millar,1758,"HOME, John - Author of “Douglas.”",http://www.flickr.com/photos/britishlibrary/tags/sysnum000029505
New York,1846,"SARTAIN, John.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000029844
Allahabad],1880,"GROWSE, Frederic Salmon.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000030269
London,1823,"MEDWIN, Thomas.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000031858
Stuttgart,1887,"MARTENS, Klaus Heinrich Friedrich.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000032896
London,1825,"Aikin, Lucy",http://www.flickr.com/photos/britishlibrary/tags/sysnum000033745
D. Appleton & Co,1850,"AIKIN, John - M.D",http://www.flickr.com/photos/britishlibrary/tags/sysnum000033833
London,1810,"EVANS, Robert Harding.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000033881
Санктпетербургъ,1889,"REDN, Egor Kuz'mich.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034361
London,1872,"Braddon, M. E. (Mary Elizabeth)",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034463
Paisley,1892,"LATTO, Thomas C.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034538
London,"[1860,] 1861-1863","AINSWORTH, William Francis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034785
London,[1872],"Doré, Gustave",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034793
London,1872,"RIMBAULT, J. H.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034810
London,1861,"Gilbert, John - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034826
London,[1874.],"Gilbert, John - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034852
London,1858 [1851-58],"BROWNE, Hablot Knight.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034914
London,1860,"BROWNE, Hablot Knight.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034952
London,1857,"Gilbert, John - Sir",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034967
London,1857 [1856],"BROWNE, Hablot Knight.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000034987
Paris,[1896],"MONTADER, Alfred - Artist",http://www.flickr.com/photos/britishlibrary/tags/sysnum000036171
London,1878,"PLIMSOLL, Samuel.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000036231
Edinburgh,1857,"Gilfillan, George",http://www.flickr.com/photos/britishlibrary/tags/sysnum000036521
Napoli,1821,"MATHIAS, Thomas James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000036531
London,1897,"HURST, Norman.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000036721
Ἐν Κερκυρᾳ,1891,"DELOTES, I.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000038673
London,1827,"PHILLIPS, T. - Rev., Baptist Missionary",http://www.flickr.com/photos/britishlibrary/tags/sysnum000038986
London,1808,"WARTON, Ferdinand Fullarton.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000039670
Plymouth,1868,"PLIMSOLL, Joseph.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000039775
London,1886,"DALTON, John Neale.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000040021
Trento,1860,"GAR, Tommaso.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000040627
Amsterdam,1810,"KONIJNENBURG, Jan.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000040680
Heilbronn,1886,"SCHMARSOW, August.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000040976
Torino,1880,"GOULD, John - F.R.S",http://www.flickr.com/photos/britishlibrary/tags/sysnum000041050
w Krakowie,1849,"ONACEWICZ, Żegota.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000041096
w Krakowie,1860,"ONACEWICZ, Żegota.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000041097
London,1724,"COOKE, Thomas - of Braintree, Essex",http://www.flickr.com/photos/britishlibrary/tags/sysnum000041601
London,1772,"COLVILL, Robert.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000041623
London,1812-15,"THOMPSON, George Alexander.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000042862
London,1873,"CORNISH, Blanche Warre.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000042904
London,1851,"SANDBACH, Margaret - Mrs",http://www.flickr.com/photos/britishlibrary/tags/sysnum000042911
London,1835,"Beckford, William",http://www.flickr.com/photos/britishlibrary/tags/sysnum000043140
London,1799,"HUGHES, Joanna.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000043252
Boston,1875,"COLLUM, Richard S.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000045172
London,1867,"TABOR, afterwards STEPHENSON, Eliza.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000045574
London,1837,"MITCHELL, C. C. - Major",http://www.flickr.com/photos/britishlibrary/tags/sysnum000048378
London,1830,"DUCATEL, Julius Timoleon.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000048384
London,1841,"G., J.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000048908
Edinburgh,"1884, 85","ROGERS, Charles - D.D",http://www.flickr.com/photos/britishlibrary/tags/sysnum000048989
Edinburgh,1880,"DURAND, Armand - Engraver",http://www.flickr.com/photos/britishlibrary/tags/sysnum000049023
"Cambridge, [Mass.]",1872,"TUCKER, William W.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000049724
Wien,1837,"SCHWARZENBERG, Friedrich von - Prince",http://www.flickr.com/photos/britishlibrary/tags/sysnum000051061
London,"1863, [1862]","CRAWFORD, Mabel Sharman.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000051064
London,[1820?],"BARNARD, Sophia.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000051125
Bombay,1884,"HOBDAY, Edmund Arthur Ponsonby.|LESLIE, John Henry.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000051466
Paris,1894,"CRAMPEL, Paul.|DYBOWSKI, Jean.|MIZON, Louis Alexandre Antoine.|MONTEIL, Parfait Louis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000052264
Agen,1887,"TAMIZEY DE LARROQUE, Jacques Philippe.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000052272
Edinburgh & London,1883,"BUTT, Beatrice May.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000052316
Edinburgh; John Murray,1808,"FORBES, William - Sir, Bart",http://www.flickr.com/photos/britishlibrary/tags/sysnum000052347
Edinburgh,"1848, 50","JOHNSTON, Alexander Keith - the Elder",http://www.flickr.com/photos/britishlibrary/tags/sysnum000052370
New York,1845,"GOULD, Edward Sherman - the Elder",http://www.flickr.com/photos/britishlibrary/tags/sysnum000052372
Philadelphia,1877,"GRIFFEN, Annie M.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000052772
London,1807,"SAYERS, James.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000052859
